product,revenue,units,kg,n_invoices,rank,cum_pct_revenue,abc_class,volume_tier
Supreme IQF Portions 2kg,51789.18,725.0,1446.0,457,148,82.00719877993782,B,High Volume
Eskort Red Viennas 10 x 125g,50955.0,778.0,972.5,57,149,82.13240647820513,B,High Volume
Mini Ham 12 x 500g,50843.5,120.0,720.0,10,150,82.25734019632611,B,High Volume
Supreme Coated Strips 1kg,50569.090000000004,625.0,625.0,383,151,82.38159962842056,B,High Volume
Eskort Marinated Loin Ribs 750g TM,50567.45,449.0,335.25,272,152,82.50585503067252,B,High Volume
Crown National Spice Six Gun 200g,50553.31,2251.0,450.2,986,153,82.63007568781892,B,High Volume
Eskort Cheese Russian 500g,49916.33,1122.0,561.0,566,154,82.75273114430506,B,High Volume
Pork Rib Burger Plain P/Kg (6kg),49669.49,341.0,637.0,98,155,82.87478006034887,B,High Volume
Eskort Chicken Polony 20 x 80g,49482.8,625.0,1000.0,38,156,82.99637023779606,B,High Volume
Eskort Bulk Kampvuur Braaiwors 2.5kg,49418.25,440.0,1100.0,328,157,83.1178018016249,B,High Volume
Toplay Large 30's Eggs,49367.71,729.0,1312.2,427,158,83.23910917750223,B,High Volume
Carrot 5kg Value,49150.01,1401.0,7005.0,354,159,83.35988161635838,B,High Volume
Potato 10Kg,48864.29,571.0,5710.0,195,160,83.47995197801801,B,High Volume
Viennas Special P/Kg,48349.27,1459.0,1390.36,500,161,83.59875682169587,B,High Volume
Chakalaka Bulk Wors 2.5kg,48343.87,522.0,1305.0,377,162,83.7175483963801,B,High Volume
CASE: Supreme Livers 1kg x 10,47923.060000000005,185.0,1850.0,154,163,83.83530594787703,B,High Volume
Supreme Crumbed Cheese Nuggets 1Kg,47189.35,542.0,542.0,309,164,83.9512606117222,B,High Volume
Potato 7kg M,46637.96,736.0,5152.0,261,165,84.06586038845626,B,High Volume
Rindless Back Bacon 1kg,45925.13,396.0,396.0,266,166,84.17870858431394,B,High Volume
Eskort Creamy Mayo Sauce 500g,45641.74,1193.0,596.5,592,167,84.29086042830012,B,High Volume
Eskort Footlong Russians 1kg,45413.82,604.0,604.0,373,168,84.40245222246607,B,High Volume
Russian 500g Combo,45017.44,528.0,0.0,325,169,84.51307002335483,B,Low Volume
Peppadew - Jalapeno Atchar 400g,44987.67,1093.0,437.2,589,170,84.62361467277314,B,High Volume
RTE: Small Chips in Box 300g,44959.43,2069.0,141.3,828,171,84.73408993026919,B,High Volume
Liver Spread 24 x 250g,44896.229999999996,183.0,1098.0,21,172,84.84440989139527,B,High Volume
Bacon Cutts 5 x 1kg,44482.14,117.0,585.0,17,173,84.9537123418595,B,High Volume
Marinated Loin Ribs 2Kg,43569.87,189.0,378.0,150,174,85.06077314328243,B,High Volume
Eskort Mini Cheese Griller 400g,43033.92,1220.0,488.0,519,175,85.16651699708717,B,High Volume
Bacon Cutts 500g,42778.49,3328.0,1664.0,851,176,85.27163320292078,B,High Volume
Marinated Rib Burger FR 12 x 500g,42718.29,93.0,558.0,9,177,85.37660148404757,B,High Volume
EDFP - Grillers 500g,42278.92,419.0,0.0,190,178,85.48049013596453,B,Low Volume
Round Cut Bacon 200g,41648.88,2008.0,401.6,708,179,85.58283064033529,B,High Volume
Frio Russian 2kg Loose,41559.94,534.0,1068.0,344,180,85.68495259946644,B,High Volume
Eskort Buckwurst 10 x 375g,41224.82,122.0,457.5,17,181,85.78625109468152,B,High Volume
Bacon Cutts 1kg,41092.67,471.0,471.0,67,182,85.88722486813572,B,High Volume
Eskort Marinated Rib Burger Catering 800g,40780.05,669.0,535.2,268,183,85.98743046514731,B,High Volume
Eskort Sliced Bacon Loaf 12 x180g,40653.19,203.0,438.48,37,184,86.08732433909734,B,High Volume
CASE: Supreme Hearts 1kg x 10,40644.44,139.0,1390.0,70,185,86.18719671236325,B,High Volume
EDFP - Polony 1Kg,39647.22,586.0,0.0,256,186,86.28461869566021,B,Low Volume
